Year,Site,Latitude,Longitude,Habitat,Deployed,Collected,Location,Site ID
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,Turmalina,T1
2023,TU2,-2.083065,-47.496821,Pasture,08/02/2023,15/02/2023,Turmalina,T2
2023,TU3,-2.069189,-47.494148,Pasture,08/02/2023,15/02/2023,Turmalina,T3
2023,TU4,-2.072127,-47.468492,Pasture,08/02/2023,15/02/2023,Turmalina,T4
2023,TU5,-2.100124,-47.469751,Pasture,09/02/2023,16/02/2023,Turmalina,T5
2023,TU6,-2.094104,-47.498256,Pasture,10/02/2023,17/02/2023,Turmalina,T6
2023,TU7,-2.065871,-47.488182,Pasture,08/02/2023,15/02/2023,Turmalina,T7
2023,TU9,-2.090291,-47.504082,Pasture,15/02/2023,18/02/2023,Turmalina,T8
2023,TU10,-2.093033,-47.471907,Pasture,08/02/2023,15/02/2023,Turmalina,T9
2023,TU11,-2.071157,-47.485681,Pasture,17/02/2023,24/02/2023,Turmalina,T10
2023,TU12,-2.101129,-47.461988,Pasture,09/02/2023,16/02/2023,Turmalina,T11
2023,TU13,-2.074989,-47.456403,Pasture,08/02/2023,15/02/2023,Turmalina,T12
2023,TU14,-2.083833,-47.473717,Pasture,08/02/2023,15/02/2023,Turmalina,T13
2023,TU15,-2.093558,-47.476995,Pasture,08/02/2023,15/02/2023,Turmalina,T14
2023,TU17,-2.07564,-47.48201,Pasture,08/02/2023,15/02/2023,Turmalina,T15
2023,TU18,-2.096692,-47.456684,Pasture,09/02/2023,16/02/2023,Turmalina,T16
2023,TU20,-2.09895,-47.502468,Pasture,15/02/2023,23/02/2023,Turmalina,T17
2023,TU21,-2.083691,-47.466376,Pasture,08/02/2023,15/02/2023,Turmalina,T18
2023,TU22,-2.094078,-47.489761,Pasture,15/02/2023,22/02/2023,Turmalina,T19
2023,TU23,-2.077953,-47.452807,Pasture,08/02/2023,15/02/2023,Turmalina,T20
2023,TU26,-2.068605,-47.480761,Pasture,08/02/2023,10/02/2023,Turmalina,T21
2023,TU27,-2.07688,-47.46355,Forest,08/02/2023,15/02/2023,Turmalina,T22
2023,TU28,-2.082806,-47.501399,Forest,10/02/2023,17/02/2023,Turmalina,T23
2023,TU29,-2.082468,-47.483673,Forest,10/02/2023,17/02/2023,Turmalina,T24
2024,PE3,-2.253718,-47.715596,Pasture,20/02/2024,29/02/2024,Perola,P1
2024,PE4,-2.265575,-47.712317,Juquira,21/02/2024,29/02/2024,Perola,P2
2024,PE7,-2.261889,-47.727388,Pasture,20/02/2024,29/02/2024,Perola,P3
2024,PE8,-2.262613,-47.732477,Pasture,20/02/2024,29/02/2024,Perola,P4
2024,PE9,-2.251995,-47.711786,Forest,21/02/2024,29/02/2024,Perola,P5
2024,PE11,-2.263925,-47.718241,Pasture,21/02/2024,29/02/2024,Perola,P6
2024,PE12,-2.269386,-47.732912,Forest,21/02/2024,29/02/2024,Perola,P7
2024,PE13,-2.251769,-47.734829,Pasture,20/02/2024,29/02/2024,Perola,P8
2024,PE16,-2.249551,-47.730396,Pasture,20/02/2024,29/02/2024,Perola,P9
2024,VC3,-2.485323,-47.725961,Pasture,08/03/2024,19/03/2024,ValeCandirus,V1
2024,VC4,-2.499068,-47.729783,Forest,06/03/2024,15/03/2024,ValeCandirus,V2
2024,VC5,-2.489142,-47.736095,Cropland,06/03/2024,15/03/2024,ValeCandirus,V3
2024,VC6,-2.461049,-47.719303,Pasture,07/03/2024,15/03/2024,ValeCandirus,V4
2024,VC7,-2.474024,-47.722847,Pasture,08/03/2024,19/03/2024,ValeCandirus,V5
2024,VC8,-2.482642,-47.737663,Pasture,06/03/2024,15/03/2024,ValeCandirus,V6
2024,VC11,-2.464304,-47.725612,Pasture,08/03/2024,19/03/2024,ValeCandirus,V7
2024,VC12,-2.477094,-47.728541,Pasture,06/03/2024,15/03/2024,ValeCandirus,V8
2024,VC13,-2.488125,-47.742557,Forest,07/03/2024,15/03/2024,ValeCandirus,V9
2024,VC14,-2.480845,-47.724038,Pasture,08/03/2024,19/03/2024,ValeCandirus,V10